Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.00011817,-0.1067,0.10785,0,0,0,6.1675,0.16028,2.1564E-05,1.3039E-05,0.066764,-0.0016682,0.18301,0,0,0,0,0,0,package://part_assembly_for_urdf/meshes/base_link.STL,0.50196,0.50196,0.50196,1,0,0,0,0,0,0,package://part_assembly_for_urdf/meshes/base_link.STL,,Base_with_arm_base_wheel_track_belt-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
turret_Link,-1.3112E-09,-3.2279E-11,-0.065431,0,0,0,0.0015793,2.4662E-06,-6.8917E-16,-4.1905E-14,1.5433E-05,1.5532E-15,1.5252E-05,0,0,0,0,0,0,package://part_assembly_for_urdf/meshes/turret_Link.STL,1,0.74902,1,1,0,0,0,0,0,0,package://part_assembly_for_urdf/meshes/turret_Link.STL,,Turret-1,Origin_turret_Joint,Axis_turret_Joint,turret_Joint,revolute,0,0,0.21647,3.1416,0,0,base_link,0,0,1,10,1.57,-3.14,3.14,,,0.5,0.1,,,,
shoulder_Link,0.000189993441483231,-0.145341068776439,8.20275947610583E-07,0,0,0,0.000275005713861268,5.46880577961511E-06,1.04545946886239E-08,-1.1327313272109E-11,5.25699063606665E-07,1.44248202941957E-11,5.38797735272456E-06,0,0,0,0,0,0,package://part_assembly_for_urdf/meshes/shoulder_Link.STL,0.501960784313725,0.501960784313725,1,1,0,0,0,0,0,0,package://part_assembly_for_urdf/meshes/shoulder_Link.STL,,Shoulder2-1,Origin_shoulder_Joint,Axis_shoulder_Joint,shoulder_Joint,revolute,0,0,-0.068,-3.1416,0,0,turret_Link,1,0,0,20,1.05,-3.14,0,,,0.5,0.1,,,,
elbow_Link,0.00108378073824748,-0.0544704067861682,-0.0711465326264925,0,0,0,0.000311735552810812,3.42146740327176E-06,-1.41401250526636E-09,-1.80890298797538E-09,9.84123917897388E-07,-3.45597195007664E-07,3.09442840414046E-06,0,0,0,0,0,0,package://part_assembly_for_urdf/meshes/elbow_Link.STL,0.501960784313725,1,1,1,0,0,0,0,0,0,package://part_assembly_for_urdf/meshes/elbow_Link.STL,,Elbow-1,Origin_elbow_Joint,Axis_elbow_Joint,elbow_Joint,revolute,0,-0.3452,0,-3.0892,0,0,shoulder_Link,1,0,0,15,1.57,0,3.14,,,0.5,0.1,,,,
telescope_Link,0.00918638003199307,-0.287985018560746,-1.36948985833274E-05,0,0,0,0.000504060555121796,5.29585037817647E-06,1.83230520582703E-07,-2.85665450904861E-10,6.25278240137453E-07,-3.0595904395194E-10,5.38586785517834E-06,0,0,0,0,0,0,package://part_assembly_for_urdf/meshes/telescope_Link.STL,0.501960784313725,1,0.501960784313725,1,0,0,0,0,0,0,package://part_assembly_for_urdf/meshes/telescope_Link.STL,,Telescope-1,Origin_telescope_Joint,Axis_telescope_Joint,telescope_Joint,prismatic,0,0,-0.0915,0,0,0,elbow_Link,0,1,0,50,0.1,-0.33982,0,,,0.5,0.1,,,,
wrist_pan_Link,0.0535566521627149,0.0021500867814456,2.96463081467246E-06,0,0,0,0.000115414012460828,1.20474709847135E-07,-1.22273225799696E-08,-2.50364785934112E-11,5.51162538124596E-07,-1.23627270080061E-11,5.72046696652325E-07,0,0,0,0,0,0,package://part_assembly_for_urdf/meshes/wrist_pan_Link.STL,1,1,0.501960784313725,1,0,0,0,0,0,0,package://part_assembly_for_urdf/meshes/wrist_pan_Link.STL,,Wrist_pan-1,Origin_wrist_pan_Joint,Axis_wrist_pan_Joint,wrist_pan_Joint,revolute,0,-0.33238,0,-0.05236,0,0,telescope_Link,1,0,0,5,2.09,-3.14,3.14,,,0.5,0.1,,,,
wrist_roll_Link,-8.96623698246057E-07,-0.0792021778247627,4.22929576529563E-05,0,0,0,0.000111522796204095,2.53254834208657E-07,7.2851442710871E-12,-3.40921919474502E-12,1.10624065502073E-07,-7.92451760619561E-11,2.99119933807957E-07,0,0,0,0,0,0,package://part_assembly_for_urdf/meshes/wrist_roll_Link.STL,0.984313725490196,0.733333333333333,0.513725490196078,1,0,0,0,0,0,0,package://part_assembly_for_urdf/meshes/wrist_roll_Link.STL,,Wrist_roll-1,Origin_wrist_roll_Joint,Axis_wrist_roll_Joint,wrist_roll_Joint,continuous,0.10485,-0.037,0,-3.1416,0,3.1416,wrist_pan_Link,0,1,0,3,3.14,,,,,0.5,0.1,,,,
gripper_Link,-1.63339342051927E-11,-4.64352445384009E-11,0.0436315349703006,0,0,0,0.108551291174862,0.00021750584056198,-1.66343932468778E-06,1.54843841198365E-18,0.000282694755289285,1.4915155529304E-18,8.31048800461349E-05,0,0,0,0,0,0,package://part_assembly_for_urdf/meshes/gripper_Link.STL,0.792156862745098,0.819607843137255,0.929411764705882,1,0,0,0,0,0,0,package://part_assembly_for_urdf/meshes/gripper_Link.STL,,Gripper_Assem10^part_assembly_for_urdf-2,Origin_gripper_Joint,,gripper_Joint,fixed,0,-0.24015,0,-1.5708,-0.025495,0,wrist_roll_Link,0,0,0,5,0.05,,,,,,,,,,
front_flipper_Link,-0.00100002194717367,-0.149217322406353,-0.0662702802394308,0,0,0,0.654827358568309,0.00743013588641711,-1.68971010856713E-10,1.64238576331658E-10,0.00211252068956256,-0.00184963128007941,0.00545576844767058,0,0,0,0,0,0,package://part_assembly_for_urdf/meshes/front_flipper_Link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://part_assembly_for_urdf/meshes/front_flipper_Link.STL,,Flipper_assembly front right-6;Flipper_assembly front left-1,Origin_front_flipper_Joint,Axis_front_flipper_Joint,front_flipper_Joint,revolute,0,0.11592,0.085966,2.5747,0,-3.1416,base_link,1,0,0,50,0.1,-6.28,0,,,0.5,0.1,,,,
rear_flipper_Link,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,package://part_assembly_for_urdf/meshes/rear_flipper_Link.STL,1,1,1,1,0,0,0,0,0,0,package://part_assembly_for_urdf/meshes/rear_flipper_Link.STL,,Flipper_assembly back right-4;Flipper_assembly back left-2,Origin_rear_flipper_Joint,Axis_rear_flipper_Joint,rear_flipper_Joint,revolute,0,-0.344081156926502,0.0859661451680933,-0.888988419389572,0,3.14159265358979,base_link,1,0,0,50,0.1,0,6.28,,,0.5,0.1,,,,
